,customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
38,CM61827,Oregon,F,Bachelor,309003.41,0.0,90.0,0,Personal Auto,Two-Door Car,648.0
39,WC35801,Arizona,F,High School or Below,252163.31,53243.0,66.0,2,Personal Auto,Four-Door Car,157.397849
40,QG25316,Nevada,F,High School or Below,265206.18,0.0,70.0,1,Corporate Auto,Two-Door Car,484.318536
41,MB98372,Oregon,F,College,277104.5,50071.0,71.0,0,Corporate Auto,Two-Door Car,18.918935
42,IL19217,California,F,Bachelor,393900.64,60021.0,99.0,0,Personal Auto,Four-Door Car,882.871945
43,SR38658,Arizona,F,High School or Below,1223187.97,43244.0,103.0,0,Personal Auto,Luxury,494.4
44,YD87931,Washington,M,Doctor,495165.61,46896.0,35354.0,1,Personal Auto,Four-Door Car,31.707317
45,HG65722,Oregon,F,Doctor,1281910.29,10105.0,172.0,3,Personal Auto,SUV,0.517753
46,BU27331,Arizona,F,Bachelor,446851.05,0.0,73.0,3,Personal Auto,Four-Door Car,579.165954
47,XM45289,Oregon,F,High School or Below,551434.4,23218.0,71.0,0,Personal Auto,Two-Door Car,447.79344
48,KP34198,California,F,Bachelor,334387.53,0.0,92.0,0,Corporate Auto,Four-Door Car,529.624084
49,SH90947,Arizona,F,High School or Below,229447.89,0.0,62.0,0,Personal Auto,Four-Door Car,313.023175
50,WE95729,Oregon,F,College,3670742.64,24804.0,104.0,0,Personal Auto,SUV,593.830288
51,PY51963,California,F,Bachelor,3347334.95,33190.0,106.0,0,Corporate Auto,SUV,508.8
52,RB69909,Nevada,F,High School or Below,798343.17,36014.0,69.0,3,Special Auto,Four-Door Car,173.956072
53,NW21079,Washington,F,Master,487938.48,67163.0,61.0,2,Personal Auto,Two-Door Car,33.192803
54,FR46645,California,F,Bachelor,429399.73,16701.0,113.0,0,Personal Auto,Four-Door Car,831.625979
56,AP67935,California,F,College,761951.58,64749.0,64.0,0,Special Auto,Four-Door Car,302.56519
58,ML29312,Oregon,F,High School or Below,449949.33,16969.0,124.0,2,Personal Auto,SUV,704.768111
59,UB61619,Oregon,F,Master,405956.74,11621.0,108.0,0,Personal Auto,Four-Door Car,518.4
60,CD86811,Arizona,F,Bachelor,445811.34,17622.0,65.0,1,Personal Auto,Four-Door Car,312.0
61,RU83859,California,F,Bachelor,811033.31,11489.0,105.0,0,Personal Auto,Two-Door Car,504.0
62,FG63582,Oregon,F,Bachelor,333976.49,0.0,94.0,0,Personal Auto,Two-Door Car,863.327324
63,NN71951,California,F,High School or Below,2426101.78,66525.0,100.0,0,Personal Auto,SUV,104.331355
64,WB37082,Arizona,F,Bachelor,661397.37,0.0,63.0,0,Personal Auto,Four-Door Car,676.391482
65,SM52139,Washington,F,College,293069.35,33663.0,73.0,0,Personal Auto,Four-Door Car,350.4
66,FL82372,Oregon,F,College,867219.43,22547.0,112.0,0,Corporate Auto,SUV,537.6
67,DP45816,Arizona,F,High School or Below,1163866.93,61486.0,97.0,0,Personal Auto,Two-Door Car,465.258644
68,GW33762,Oregon,F,Bachelor,684615.03,0.0,95.0,0,Personal Auto,Two-Door Car,456.0
69,RZ33670,California,F,College,1172777.65,29879.0,102.0,0,Personal Auto,Four-Door Car,500.254235
70,PY70169,Oregon,F,High School or Below,2264383.48,93011.0,113.0,0,Personal Auto,SUV,281.451042
71,MO91628,Oregon,F,Master,261447.43,65186.0,65.0,0,Personal Auto,Two-Door Car,5.434505
72,HW87852,Oregon,F,Master,245175.27,26840.0,64.0,2,Personal Auto,Four-Door Car,307.2
73,HB20453,Oregon,F,Bachelor,678127.02,0.0,104.0,1,Personal Auto,Luxury,982.399613
74,BN87372,Oregon,F,Bachelor,497480.15,75644.0,65.0,3,Personal Auto,Two-Door Car,467.803638
76,DZ87709,Oregon,F,High School or Below,559216.14,71811.0,71.0,0,Personal Auto,Four-Door Car,29.03416
78,SP81997,Washington,F,Master,793690.0,41275.0,96.0,0,Personal Auto,Four-Door Car,41.122303
79,OM82309,California,F,Bachelor,5816655.35,61321.0,186.0,1,Personal Auto,Luxury,427.63121
80,ZU35962,California,F,College,802522.94,0.0,77.0,0,Personal Auto,Two-Door Car,25.807685
81,VH85817,California,F,High School or Below,578018.22,51066.0,74.0,0,Personal Auto,Four-Door Car,787.993313
82,DT85712,California,F,Doctor,411853.91,34378.0,102.0,0,Personal Auto,SUV,489.6
83,YJ88573,Nevada,F,Master,252307.02,43072.0,63.0,0,Personal Auto,Four-Door Car,302.4
84,SQ19467,Oregon,F,College,655421.64,25222.0,90.0,0,Personal Auto,Four-Door Car,475.623251
85,YB66933,Washington,F,Bachelor,538275.2,77552.0,68.0,1,Corporate Auto,Four-Door Car,45.215059
86,ET79815,California,F,College,592672.94,23091.0,96.0,5,Personal Auto,Four-Door Car,460.8
87,QC35222,California,F,Bachelor,268347.07,48269.0,69.0,3,Corporate Auto,Four-Door Car,282.151207
89,OI48267,California,F,College,604702.52,20396.0,76.0,1,Personal Auto,Four-Door Car,364.8
90,JY67916,Oregon,F,College,1317101.28,21513.0,119.0,1,Personal Auto,Two-Door Car,679.827592
91,OW15518,Washington,F,College,1595001.95,0.0,87.0,1,Personal Auto,Two-Door Car,46.041452
92,CZ33664,Oregon,F,Bachelor,252765.38,80744.0,63.0,0,Corporate Auto,Four-Door Car,11.879037
93,WK30175,Oregon,F,Bachelor,267209.58,52822.0,67.0,0,Corporate Auto,Two-Door Car,350.529033
94,ON44465,California,F,High School or Below,531329.4,0.0,77.0,1,Personal Auto,Four-Door Car,863.3947
95,TV87155,Oregon,F,Bachelor,2094619.25,69738.0,74.0,1,Personal Auto,Four-Door Car,492.127532
96,KH48895,Arizona,F,Master,837535.39,17780.0,109.0,0,Personal Auto,SUV,132.588288
97,NZ30757,California,F,Bachelor,480166.15,18107.0,62.0,0,Personal Auto,Four-Door Car,297.6
98,RI22468,Arizona,F,Bachelor,574594.33,57740.0,74.0,3,Personal Auto,Four-Door Car,269.905129
99,FZ30935,Oregon,F,College,606611.6,32627.0,76.0,0,Personal Auto,Two-Door Car,380.036697
100,UG93476,California,F,College,800230.83,0.0,107.0,0,Personal Auto,SUV,513.6
101,AB96670,California,F,College,239391.54,0.0,70.0,0,Personal Auto,Four-Door Car,425.266308
102,XK64261,Oregon,F,Bachelor,476281.79,65795.0,62.0,1,Corporate Auto,Two-Door Car,49.011099
104,UN51653,California,F,High School or Below,940272.98,0.0,130.0,0,Personal Auto,SUV,936.0
105,TO96662,Oregon,F,Bachelor,696669.45,41837.0,88.0,0,Personal Auto,Four-Door Car,142.062768
106,MR52087,California,F,Bachelor,769406.43,32303.0,65.0,0,Personal Auto,Four-Door Car,45.152521
108,EP80820,California,F,Bachelor,592874.85,40531.0,74.0,0,Personal Auto,Two-Door Car,30.567357
109,GU99037,Oregon,F,College,245297.73,79898.0,62.0,1,Corporate Auto,Four-Door Car,271.606799
110,WI57118,California,F,College,670157.17,56398.0,85.0,0,Personal Auto,Four-Door Car,408.0
111,GP39118,Washington,M,High School or Below,499655.27,71600.0,63.0,0,Personal Auto,Two-Door Car,46.158117
112,MQ14219,Arizona,F,College,849269.88,27804.0,109.0,0,Personal Auto,SUV,784.8
113,KN20603,Oregon,F,Bachelor,771349.4,45506.0,66.0,2,Personal Auto,Four-Door Car,316.8
114,SG20925,Washington,F,Master,518579.76,99428.0,6464.0,1,Personal Auto,Four-Door Car,48.046869
116,VF72557,Oregon,F,High School or Below,477294.38,20993.0,133.0,0,Personal Auto,SUV,638.4
117,OX28638,Arizona,F,High School or Below,680649.14,37839.0,86.0,0,Personal Auto,Two-Door Car,465.633954
118,SK55033,California,F,Bachelor,246978.13,92711.0,62.0,0,Personal Auto,Two-Door Car,368.400146
119,OO88645,California,F,College,310392.3,74665.0,78.0,2,Corporate Auto,Four-Door Car,236.902001
120,FM14335,Washington,F,College,1048491.54,61108.0,89.0,0,Personal Auto,Four-Door Car,49.451117
121,CW82151,California,F,Bachelor,890273.76,46833.0,112.0,0,Personal Auto,Luxury,64.109663
122,DY22043,Oregon,F,High School or Below,549944.72,88768.0,68.0,0,Personal Auto,Two-Door Car,326.4
123,SH36774,California,F,High School or Below,1502359.86,28262.0,192.0,0,Personal Auto,Luxury,921.6
124,EM43724,Nevada,F,Bachelor,250910.79,33555.0,63.0,0,Personal Auto,Four-Door Car,101.89645
125,FH85960,Oregon,F,College,3122174.81,42780.0,113.0,1,Personal Auto,Four-Door Car,542.4
126,XA55993,Oregon,F,Master,313350.34,58850.0,78.0,0,Personal Auto,Four-Door Car,143.747794
127,GO36627,Arizona,F,College,383745.19,21880.0,97.0,0,Special Auto,Four-Door Car,424.077159
129,HS28694,Washington,F,High School or Below,282986.39,25317.0,71.0,0,Personal Auto,Two-Door Car,50.422181
130,UH65059,Arizona,F,High School or Below,430580.83,24188.0,109.0,0,Personal Auto,Luxury,523.2
131,FV21968,Nevada,F,Bachelor,597397.69,41611.0,74.0,0,Special Auto,Four-Door Car,113.801497
132,QA87025,Oregon,F,Bachelor,567044.24,28406.0,72.0,1,Personal Auto,Four-Door Car,192.87572
133,TQ13499,Arizona,F,College,473174.93,69833.0,118.0,0,Personal Auto,Four-Door Car,828.662719
135,MS41162,Arizona,F,High School or Below,402296.35,0.0,117.0,0,Personal Auto,SUV,975.107098
136,PU25891,Oregon,F,High School or Below,961831.09,80536.0,119.0,0,Special Auto,Luxury,53.798708
137,LH92841,Washington,F,Bachelor,725595.38,88891.0,89.0,0,Personal Auto,Four-Door Car,50.528355
138,SX26335,Oregon,F,College,955292.69,97732.0,79.0,0,Personal Auto,Four-Door Car,289.9122
139,AZ95587,Arizona,F,Bachelor,1038855.32,61222.0,89.0,0,Special Auto,Four-Door Car,392.604371
140,DS81757,Oregon,M,College,247012.12,0.0,74.0,0,Personal Auto,Two-Door Car,721.242206
141,OJ94107,Arizona,M,Master,561906.85,50335.0,140.0,0,Personal Auto,SUV,456.52385
142,LP84436,California,F,High School or Below,904711.92,0.0,127.0,0,Personal Auto,Luxury,1087.995426
143,FF22360,Washington,F,Doctor,268731.41,82210.0,68.0,4,Personal Auto,Four-Door Car,51.961915
145,ZU18643,Nevada,M,Bachelor,366077.03,64495.0,92.0,0,Corporate Auto,Four-Door Car,251.992083
146,AZ82578,California,F,College,792882.93,0.0,72.0,0,Corporate Auto,Four-Door Car,345.6
148,YC43143,Arizona,F,High School or Below,798825.83,77330.0,99.0,0,Personal Auto,Four-Door Car,99.257608
150,PA38372,Washington,F,High School or Below,935773.78,33060.0,117.0,0,Personal Auto,Four-Door Car,56.731578
151,RO18530,Washington,M,Master,254068.98,42557.0,65.0,0,Personal Auto,Four-Door Car,57.562324
152,PD27940,Arizona,M,High School or Below,488516.25,26372.0,126.0,0,Personal Auto,SUV,604.8
153,BS77946,Arizona,F,Bachelor,975330.71,17514.0,127.0,0,Personal Auto,SUV,8.312729
154,YM50253,California,Femal,Bachelor,294615.37,89270.0,74.0,0,Personal Auto,Four-Door Car,316.599228
156,RC62865,Oregon,M,College,351738.58,51814.0,92.0,0,Personal Auto,Four-Door Car,56.300724
157,CC15295,Oregon,F,Bachelor,974335.01,24028.0,82.0,0,Personal Auto,Four-Door Car,393.6
158,KA61892,Arizona,M,College,387364.7,28142.0,105.0,0,Personal Auto,Luxury,701.708239
159,OS94884,Arizona,F,Bachelor,764928.2,52705.0,64.0,1,Personal Auto,Two-Door Car,128.705563
160,ND87334,California,M,High School or Below,228759.69,0.0,63.0,0,Corporate Auto,Two-Door Car,679.368378
161,OY51402,Washington,F,High School or Below,825576.39,54040.0,103.0,0,Personal Auto,SUV,59.987126
162,YL74911,California,F,College,871492.21,0.0,118.0,0,Personal Auto,SUV,566.4
163,GK92563,Washington,F,Doctor,681923.12,22492.0,85.0,0,Personal Auto,Two-Door Car,61.654262
164,HL53154,California,M,Bachelor,741619.73,0.0,77.0,2,Personal Auto,Four-Door Car,554.4
165,RI78966,Oregon,M,Master,777115.9,21876.0,68.0,0,Personal Auto,Four-Door Car,465.41477
166,IC13702,California,F,Bachelor,696834.19,0.0,69.0,1,Personal Auto,Four-Door Car,496.8
167,BE10809,California,F,High School or Below,425028.26,0.0,61.0,1,Personal Auto,Four-Door Car,292.8
168,HT87217,Oregon,F,High School or Below,1977656.65,70699.0,82.0,0,Personal Auto,Four-Door Car,256.813837
170,TS19868,California,M,College,241313.97,27501.0,63.0,0,Personal Auto,Four-Door Car,542.319401
171,LP45550,Oregon,F,Doctor,1536384.72,15897.0,101.0,0,Personal Auto,Four-Door Car,303.148399
172,QR87004,Nevada,F,College,845696.19,25141.0,73.0,1,Personal Auto,Four-Door Car,25.438063
175,AB72731,California,F,Bachelor,463998.16,28358.0,117.0,0,Personal Auto,Luxury,84.024413
176,GX84338,Washington,F,Doctor,382443.13,62530.0,95.0,0,Personal Auto,Four-Door Car,61.693771
177,IS12901,Arizona,F,Bachelor,596811.89,90972.0,74.0,0,Personal Auto,Two-Door Car,232.926145
178,BN90616,Washington,F,Bachelor,859033.5,63110.0,72.0,0,Personal Auto,Four-Door Car,68.179721
179,HH90090,California,F,Bachelor,407663.47,29549.0,104.0,0,Personal Auto,Luxury,710.433775
180,IU25463,California,F,Bachelor,1225260.18,0.0,115.0,1,Personal Auto,Four-Door Car,552.0
181,KC11055,Nevada,F,Bachelor,1693627.15,39411.0,217.0,2,Personal Auto,Luxury,1122.658899
182,PD33979,Oregon,M,High School or Below,489243.55,21709.0,62.0,0,Personal Auto,Four-Door Car,408.374746
184,AB13432,California,M,Bachelor,373583.81,0.0,110.0,0,Personal Auto,SUV,792.0
186,UF46533,California,F,College,457452.41,99316.0,114.0,0,Corporate Auto,SUV,754.358929
187,XP47431,Arizona,F,Bachelor,547006.06,54507.0,138.0,0,Personal Auto,SUV,702.990032
188,GK73582,California,F,Bachelor,297884.6,64586.0,76.0,0,Personal Auto,Four-Door Car,206.837111
189,RV98763,Oregon,M,College,641096.75,61709.0,82.0,2,Personal Auto,Four-Door Car,275.395894
190,II62831,California,M,Master,447902.31,94656.0,111.0,1,Special Auto,SUV,459.738128
192,TR85083,California,M,Bachelor,276449.37,61085.0,70.0,1,Personal Auto,Two-Door Car,336.0
195,YL83902,Washington,F,Bachelor,327419.46,31686.0,81.0,0,Personal Auto,Four-Door Car,430.994107
196,AZ62651,Oregon,M,High School or Below,995170.77,56855.0,255.0,0,Corporate Auto,Luxury,1836.0
197,ZW25874,Oregon,M,Bachelor,252155.57,53703.0,67.0,2,Special Auto,Four-Door Car,67.632476
198,EH41854,Washington,F,High School or Below,2370611.34,0.0,96.0,1,Personal Auto,Two-Door Car,844.481918
200,SL22297,California,F,Master,1114030.25,27679.0,150.0,0,Personal Auto,SUV,722.486994
201,RV14138,Nevada,F,Bachelor,433406.41,23904.0,123.0,3,Personal Auto,SUV,590.4
202,UO62808,Arizona,F,High School or Below,279974.79,65351.0,69.0,0,Corporate Auto,Four-Door Car,481.027516
203,ZX64745,California,M,College,792313.66,0.0,113.0,0,Personal Auto,SUV,1124.427734
204,FL34139,California,M,High School or Below,368811.09,0.0,63.0,3,Personal Auto,Four-Door Car,669.682001
205,TS11219,California,M,College,1206745.6,0.0,116.0,0,Personal Auto,SUV,1284.093173
206,XX12304,California,F,College,292497.67,64459.0,72.0,0,Personal Auto,Four-Door Car,240.259479
207,SD64087,California,M,College,1501409.27,32961.0,190.0,0,Corporate Auto,SUV,912.0
208,OY38576,Oregon,F,High School or Below,927723.38,71416.0,116.0,0,Corporate Auto,SUV,556.8
209,BG76355,Washington,F,Bachelor,627412.39,68964.0,78.0,0,Personal Auto,Four-Door Car,115.086827
210,IP66913,California,M,High School or Below,388664.74,78108.0,98.0,0,Personal Auto,Two-Door Car,470.4
212,KX54357,Washington,M,College,1136526.77,84910.0,95.0,0,Corporate Auto,Two-Door Car,383.167471
213,EZ78112,California,Femal,High School or Below,561096.43,77493.0,70.0,0,Special Auto,Four-Door Car,307.963291
215,XK31350,Oregon,Femal,College,691572.99,96610.0,85.0,0,Corporate Auto,Four-Door Car,520.364752
216,CC30924,Oregon,M,College,626266.33,30110.0,159.0,0,Corporate Auto,Luxury,466.436375
217,IT78748,Oregon,Femal,High School or Below,650339.7,22081.0,84.0,0,Special Auto,Two-Door Car,451.670309
221,DE21533,California,M,Bachelor,547315.99,93870.0,69.0,0,Personal Auto,Four-Door Car,331.2
222,YS94121,Nevada,M,High School or Below,564539.67,50366.0,72.0,0,Personal Auto,Four-Door Car,428.734656
223,UK68427,Washington,M,High School or Below,636926.24,34498.0,83.0,0,Personal Auto,Two-Door Car,398.4
225,RA88421,Oregon,Femal,College,612110.79,26787.0,77.0,0,Personal Auto,Four-Door Car,369.6
226,KQ51983,Nevada,M,College,515936.97,0.0,74.0,0,Personal Auto,Two-Door Car,831.752839
227,CD88896,Nevada,Femal,High School or Below,251459.2,43860.0,65.0,0,Corporate Auto,Four-Door Car,156.124914
228,YV22553,Arizona,M,High School or Below,866861.13,21474.0,114.0,2,Corporate Auto,SUV,373.428187
229,WU14435,California,M,Bachelor,496096.54,18174.0,66.0,0,Corporate Auto,Four-Door Car,395.934815
231,RI24911,Arizona,Male,College,750745.54,60920.0,64.0,0,Personal Auto,Two-Door Car,231.201886
232,KO26461,Arizona,Male,High School or Below,3226985.14,41520.0,90.0,0,Personal Auto,Four-Door Car,289.904105
233,HI14283,Oregon,Femal,Bachelor,565703.16,0.0,152.0,0,Personal Auto,SUV,729.6
236,TX17484,California,Femal,Bachelor,1518227.98,53863.0,63.0,0,Personal Auto,Four-Door Car,105.765111
237,CT41158,Washington,Male,College,1074703.09,66446.0,136.0,0,Corporate Auto,SUV,639.464548
239,DE55857,Washington,Femal,Bachelor,246544.49,64997.0,63.0,1,Personal Auto,Four-Door Car,383.442328
241,CN24514,Arizona,Femal,College,811982.91,46618.0,67.0,0,Personal Auto,Four-Door Car,99.085943
243,HP36979,California,Male,College,640878.56,49988.0,84.0,5,Personal Auto,Two-Door Car,566.935022
245,RO73268,California,M,Bachelor,321107.0,16269.0,86.0,0,Corporate Auto,Two-Door Car,412.8
247,BS13062,Arizona,F,High School or Below,2575527.82,0.0,81.0,2,Personal Auto,Four-Door Car,388.8
248,FO35655,Oregon,M,Bachelor,867222.97,0.0,245.0,0,Corporate Auto,Luxury,2345.413441
250,IA63417,Arizona,F,High School or Below,400151.91,19782.0,108.0,0,Personal Auto,Two-Door Car,773.470977
251,BH35016,Nevada,F,Bachelor,1670611.7,63933.0,70.0,0,Personal Auto,Two-Door Car,424.883448
254,IL28481,Oregon,M,Bachelor,611275.69,63243.0,77.0,0,Personal Auto,Four-Door Car,364.240307
256,UF33451,Oregon,F,Bachelor,1097909.56,94827.0,135.0,0,Personal Auto,SUV,354.729129
257,CF15558,California,F,Master,500426.38,39161.0,63.0,1,Personal Auto,Two-Door Car,283.995953
258,JM62924,Washington,M,Bachelor,1322304.38,37534.0,84.0,2,Personal Auto,Four-Door Car,403.2
259,EM66435,Oregon,F,Bachelor,262331.54,80210.0,65.0,0,Corporate Auto,Four-Door Car,20.543176
260,QX45933,California,M,Bachelor,1784019.56,0.0,62.0,0,Personal Auto,Four-Door Car,385.115437
261,JI71369,California,F,College,510611.18,30110.0,64.0,0,Personal Auto,Four-Door Car,140.165035
265,LW93867,Oregon,M,College,481252.52,16531.0,63.0,0,Corporate Auto,Four-Door Car,102.879769
266,OU78470,Arizona,F,Master,2932804.19,32006.0,94.0,0,Corporate Auto,Four-Door Car,56.868289
267,XW90265,Arizona,F,Bachelor,577352.07,81676.0,72.0,0,Personal Auto,Two-Door Car,463.158502
268,HS67749,California,M,College,684711.89,71038.0,86.0,0,Corporate Auto,Four-Door Car,205.444066
269,VZ51506,Arizona,F,High School or Below,359531.29,0.0,103.0,0,Corporate Auto,Luxury,741.6
270,UI64281,Nevada,F,Master,2285561.21,20832.0,65.0,0,Personal Auto,Two-Door Car,56.371967
271,AE98193,Washington,M,High School or Below,785941.46,0.0,113.0,0,Personal Auto,SUV,813.6
273,XS76911,Arizona,F,High School or Below,502963.88,0.0,133.0,0,Personal Auto,Luxury,795.864079
274,AY40674,Washington,F,Bachelor,482141.85,26583.0,1005.0,4,Personal Auto,SUV,614.4
275,NA12740,Oregon,M,Master,500431.05,25486.0,65.0,0,Special Auto,Two-Door Car,72.438681
277,DJ51510,Arizona,F,High School or Below,932208.51,70435.0,116.0,0,Personal Auto,Four-Door Car,67.881546
278,VM58985,California,M,College,1672756.06,0.0,76.0,2,Personal Auto,Two-Door Car,402.636829
279,OH60605,Oregon,F,High School or Below,365253.24,39679.0,92.0,0,Personal Auto,Two-Door Car,641.388616
280,UO98052,Nevada,M,College,615860.12,0.0,89.0,0,Personal Auto,Four-Door Car,342.481173
282,LQ13873,Nevada,M,High School or Below,556945.62,53565.0,71.0,1,Personal Auto,Four-Door Car,340.8
283,LA97014,Washington,M,Bachelor,257651.3,37574.0,66.0,1,Personal Auto,Two-Door Car,412.101933
284,NB79936,Washington,M,Bachelor,834698.32,48259.0,108.0,0,Personal Auto,Two-Door Car,73.700573
285,NT89061,Arizona,F,High School or Below,632392.39,78532.0,78.0,0,Personal Auto,Four-Door Car,374.4
288,JQ59145,California,Male,High School or Below,809341.03,0.0,114.0,1,Personal Auto,Luxury,722.024742
289,FE84989,Washington,Male,College,503574.46,72672.0,63.0,0,Personal Auto,Four-Door Car,259.361117
291,MC62068,California,Male,High School or Below,728888.48,79494.0,91.0,0,Personal Auto,Four-Door Car,396.295614
292,EU27538,Oregon,Male,Master,1804247.94,35704.0,225.0,0,Personal Auto,Luxury,358.281562
293,RH42306,Arizona,F,Bachelor,499206.3,0.0,71.0,0,Corporate Auto,Four-Door Car,653.388564
294,US23612,Oregon,F,High School or Below,910226.78,26049.0,118.0,0,Personal Auto,Two-Door Car,121.032372
295,WV76014,Arizona,Male,Doctor,254040.77,70125.0,64.0,0,Special Auto,Four-Door Car,92.813396
297,MF82000,Washington,female,Bachelor,236534.86,0.0,66.0,2,Special Auto,Four-Door Car,159.636956
298,FM46980,Arizona,Male,College,572076.51,41770.0,72.0,0,Personal Auto,Four-Door Car,476.156957
299,SY56792,Oregon,Male,High School or Below,703553.41,0.0,101.0,0,Corporate Auto,Four-Door Car,727.2
301,IM94808,Nevada,M,Bachelor,539583.2,70051.0,68.0,0,Corporate Auto,Four-Door Car,42.078345
303,YR34119,Washington,F,College,3116174.52,30916.0,112.0,0,Personal Auto,SUV,200.11606
304,RR77985,Oregon,F,Bachelor,288774.23,0.0,80.0,0,Personal Auto,Four-Door Car,676.944023
305,QD28391,Washington,M,College,742584.53,84302.0,62.0,0,Personal Auto,Four-Door Car,76.609295
306,WV17090,California,M,Bachelor,2558572.78,0.0,116.0,0,Corporate Auto,SUV,830.623064
307,TM23514,Oregon,M,College,1027260.82,60145.0,132.0,0,Personal Auto,SUV,580.473259
308,MQ68407,Oregon,F,Bachelor,437636.36,63774.0,111.0,0,Personal Auto,Four-Door Car,60.036683
310,FY56083,Oregon,M,Bachelor,471976.22,37057.0,61.0,1,Personal Auto,Four-Door Car,47.53101
311,UA94723,Oregon,F,High School or Below,442803.16,58577.0,110.0,0,Personal Auto,SUV,303.872752
312,FW91032,California,M,High School or Below,587917.61,85857.0,73.0,0,Corporate Auto,Four-Door Car,100.620067
313,DE34457,Oregon,F,Doctor,941690.85,70602.0,116.0,0,Personal Auto,SUV,481.339891
315,HH30454,Oregon,M,Bachelor,3265483.83,0.0,153.0,0,Personal Auto,SUV,1101.6
316,AH84063,Oregon,F,College,471945.01,89642.0,121.0,4,Corporate Auto,SUV,86.320022
318,XI41052,California,F,Bachelor,545725.97,50044.0,139.0,0,Personal Auto,SUV,667.2
319,DI30528,California,F,Master,272535.64,36650.0,69.0,1,Personal Auto,Four-Door Car,56.60333
320,SC66359,Arizona,F,College,443397.37,50653.0,110.0,0,Corporate Auto,SUV,262.865172
